kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403829","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,2470000
"403879","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",22/01/2024,20
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,3000000
"237373","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2024,26950000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,8000000
"238741","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",03/01/2024,6550000
"403827","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",17/01/2024,149
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2024,135000
"403836","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",04/01/2024,36206092
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,4429000
"403833","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,350000
"427573","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,2235778
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",23/01/2024,2319000
"403879","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",15/02/2024,12789375
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,2151169
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",12/02/2024,1080000
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,5662082
"626402","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",11/01/2024,752500
"427511","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",16/01/2024,505230
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",30/01/2024,13050000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/02/2024,4800000
"239260","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",08/01/2024,13003610
"403817","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2024,976781
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2024,3045000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1061890
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",09/01/2024,103788
"238762","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",25/01/2024,1000000
"238762","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,670450
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,5662082
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2024,3000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2024,4800000
"238010","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2024,3000000
"238010","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,6969644
"239260","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,2700000
