kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403827","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/01/2024,110811200
"440013","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","2202","2",30/01/2024,49999850
"403827","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","2201","2",17/01/2024,1071900
"403827","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2201","2",02/02/2024,4230
"403827","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","2201","7",02/02/2024,-30
"403828","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","1907","2",07/02/2024,814000
"403828","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1907","2",06/02/2024,7320736
"403828","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/03/2024,124479110
"403828","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/02/2024,361786000
"403828","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/01/2024,133492500
"403828","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/01/2024,22600
"622035","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0503","2",01/02/2024,38823000
"622035","032","03212","522191","03212DL","2376","SAC","2","A","0","00000001","0503","2",12/02/2024,174522695
"622035","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0503","2",07/02/2024,4595150
"622035","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","0503","2",05/02/2024,9079999
"622035","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0503","2",05/02/2024,289680
"622035","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0503","2",13/02/2024,28346464
"622035","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0503","2",13/02/2024,1004704
"427511","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","0154","2",13/02/2024,138428
"626402","032","03212","521211","03212WA","2378","EBD","1","A","0","00000001","0151","2",13/02/2024,391600
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",12/02/2024,101292000
"403821","032","03212","524111","03212WA","2378","EBA","1","A","0","00000001","0152","2",15/02/2024,3739127
"403821","032","03212","512414","03212WA","2378","EBA","1","A","0","00000001","0152","2",15/02/2024,9421461
"403822","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0152","2",16/02/2024,106
"427511","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0154","2",21/02/2024,205112000
"427511","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0154","2",16/01/2024,255646
"427511","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0154","2",16/01/2024,86
"626402","032","03212","524111","03212DL","2376","AFA","1","A","0","00000001","0151","2",22/02/2024,15468520
"403835","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0151","2",06/02/2024,240906333
"403836","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0152","2",05/02/2024,5329950
"403822","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0152","2",07/02/2024,1810640
"403836","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0152","2",07/02/2024,3473000
"403836","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0152","2",12/02/2024,12488500
"403836","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","0152","2",12/02/2024,1050000
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",06/02/2024,20000000
"626402","032","03212","524114","03212WA","2378","EBA","1","A","0","00000001","0151","2",06/02/2024,1700000
"427511","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0154","2",01/02/2024,23639614
"626402","032","03212","524111","03212DL","2375","AFA","1","A","0","00000001","0151","2",29/01/2024,4266500
"403835","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0151","2",05/02/2024,8568
"427511","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0154","2",24/01/2024,3147100
"403835","032","03212","524113","03212WA","2378","EBD","2","A","0","00000001","0151","2",30/01/2024,1500000
"403836","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0152","2",01/02/2024,24112843
"403836","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0152","2",01/02/2024,142930380
"626402","032","03212","522113","03212WA","2378","EBA","1","A","0","00000001","0151","2",16/01/2024,12741699
"403821","032","03212","522113","03212WA","2378","EBA","1","A","0","00000001","0152","2",15/01/2024,228600
"427511","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0154","2",01/01/2024,314
"427511","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0154","2",12/01/2024,36007100
"626402","032","03212","511151","03212WA","2378","EBA","1","A","0","00000001","0151","2",01/01/2024,15170000
"403821","032","03212","511122","03212WA","2378","EBA","1","A","0","00000001","0152","2",01/01/2024,8490044
"626402","032","03212","522151","03212DL","2375","AFA","1","A","0","00000001","0151","2",20/02/2024,2000000
"427511","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0154","2",22/02/2024,3873000
"403821","032","03212","522141","03212WA","2378","EBA","1","A","0","00000001","0152","2",23/02/2024,2991450
"626402","032","03212","524111","03212WA","2378","EBA","1","A","0","00000001","0151","2",23/02/2024,5306000
"626402","032","03212","521211","03212WA","2378","EBA","1","A","0","00000001","0151","2",22/02/2024,2548800
"626402","032","03212","522151","03212DL","2376","ABW","1","A","0","00000001","0151","2",22/02/2024,1800000
"238010","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/01/2024,15952280
"238010","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/01/2024,540000
"239260","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","1753","2",05/02/2024,600000
"239260","032","03212","524119","03212DL","2375","SCC","2","A","0","00000001","1753","2",19/01/2024,573000000
"238010","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","1753","2",07/02/2024,70000
