kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"626402","032","03212","521219","03212WA","2378","EBD","1","A","0","00000001","0151","2",1218416000
"403836","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0152","2",24000000
"403822","032","03212","524119","03212WA","2378","EBD","2","A","0","00000001","0152","2",33000000
"403822","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0152","2",158461000
"427511","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0154","2",13733000
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",13728419000
"626402","032","03212","532111","03212WA","2378","CAN","1","A","0","00000001","0151","2",400000000
"403822","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","0152","2",50000000
"403821","032","03212","524113","03212WA","2378","EBC","1","A","0","00000001","0152","2",18530000
"403835","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0151","2",61600000
"626402","032","03212","521811","03212WA","2378","EBA","1","A","0","00000001","0151","2",1666559000
"626402","032","03212","522151","03212DL","2375","ABW","1","A","0","00000001","0151","2",6000000
"626402","032","03212","524119","03212DL","2376","ABW","1","A","0","00000001","0151","2",54240000
"403836","032","03212","522151","03212HB","6706","ABW","2","A","0","00000001","0152","2",94000000
"403836","032","03212","512212","03212WA","2378","EBA","2","A","0","00000001","0152","2",1796000
"626402","032","03212","523199","03212WA","2378","EBA","1","A","0","00000001","0151","2",144000000
"403822","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0152","2",222000000
"626402","032","03212","521219","03212DL","2376","ABW","1","A","0","00000001","0151","2",1631030000
"626402","032","03212","521811","03212DL","2376","ABW","1","A","0","00000001","0151","2",12500000
"403821","032","03212","512212","03212WA","2378","EBA","1","A","0","00000001","0152","2",15240000
"403822","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0152","2",1259548000
"403821","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0152","2",7407588000
"403822","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0152","2",9324000
"403835","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0151","2",4772768000
"403836","032","03212","521211","03212HB","6706","ABW","2","A","0","00000001","0152","2",160620000
"239260","032","03212","521211","03212DL","2375","SCC","2","A","0","00000001","1753","2",2028118000
"239260","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","1753","2",25200000
"238010","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","1753","2",80000
"238010","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1753","2",63000000
"239260","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1753","2",1032744000
"239260","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1753","2",926931000
"238010","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1753","2",1871870000
"239260","032","03212","533121","03212DL","2375","RBQ","2","A","0","00000001","1753","2",200000000
